"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"","170","0","0","0","0","0","/System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7192","0",,"False",,,"170",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"170",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (kdc)","0","","True","",,,,,
"","172","0","0","0","0","0","/usr/sbin/distnoted","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1904","0",,"False",,,"172",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"172",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (distnoted)","0","","True","",,,,,
"","173","0","0","0","0","0","/System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4008","0",,"False",,,"173",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"173",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (AppleCredentialManagerDaemon)","0","","True","",,,,,
"","176","0","0","0","0","0","/System/Library/CoreServices/logind","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7776","0",,"False",,,"176",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"176",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (logind)","0","","True","",,,,,
"","177","0","0","0","0","0","/System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1984","0",,"False",,,"177",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"177",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (revisiond)","0","","True","",,,,,
"","178","0","0","0","0","0","/usr/sbin/KernelEventAgent","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2848","0",,"False",,,"178",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"178",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (KernelEventAgent)","0","","True","",,,,,
"","179","0","0","0","0","0","/usr/libexec/usermanagerd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6176","0",,"False",,,"179",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"179",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (usermanagerd)","0","","True","",,,,,
"","182","0","0","0","0","0","/usr/sbin/notifyd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6048","0",,"False",,,"182",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"182",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (notifyd)","0","","True","",,,,,
"","183","0","0","0","0","0","/usr/libexec/sandboxd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7500","0",,"False",,,"183",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"183",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (sandboxd)","0","","True","",,,,,
"","184","0","0","0","0","0","/usr/libexec/corebrightnessd","",,,,,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6292","0",,"False",,,"184",".",,,"System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","0","0","0","0","False","Normal","0","0",,"184",,"System.Diagnostics.ProcessThreadCollection","0","0","0","False",,,,"0","0",,"System.Diagnostics.ProcessModule (corebrightnessd)","0","","True","",,,,,
